VENDOR_ID,NAME,PHONE_NUMBER,ADDRESS,INDUSTRY_TYPE
5001,Tempor Bibendum Donec Institute,(563) 368-9125,Ap #594-4327 Tempor St.,Food
5002,Orci Luctus Institute,(311) 718-3191,Ap #837-6837 Lorem St.,Food
5003,Amet Luctus Vulputate Inc.,(267) 355-3952,552-9759 In St.,Food
5004,Non Sollicitudin A Corporation,(130) 734-6407,634-2768 Vitae Ave,Food
5005,Nullam Vitae Company,(838) 614-8558,Ap #840-5380 Mattis Av.,Food
5006,Vulputate Lacus Cras Limited,(634) 236-2735,Ap #686-6241 Malesuada. Rd.,Food
5007,Ipsum Dolor Incorporated,(175) 711-7206,Ap #469-5802 Nulla St.,Food
5008,Quis Diam Associates,(925) 587-5961,"P.O. Box 629, 3934 Ullamcorper Street",Food
5009,Venenatis Incorporated,(848) 178-2067,"2796 Vestibulum, St.",Food
5010,Duis Volutpat Nunc Foundation,(241) 364-6842,7722 Proin Rd.,Food
